mapping_id,labor_code,material_code,material_description,material_unit,calculation_type,multiplier,source,effective_date,expiration_date,active,supersedes_mapping_id,status,notes
MAP-000001,BM60(1)(1.25),114-11-O-8000,"1-PULL 1.25 in CONDUIT, ORANGE 8000FT",FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,APPROVED,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 1-pull SKU at 1 FT per production FT."
MAP-000002,BM60(1)(1.25) T,114-11-O-8000,"1-PULL 1.25 in CONDUIT, ORANGE 8000FT",FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,APPROVED,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 1-pull SKU at 1 FT per production FT."
MAP-000003,BM60(1)(2) T,TBD-CONDUIT-2-1PULL,1-PULL 2 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 1-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
MAP-000004,BM60(1)(4) T,TBD-CONDUIT-4-1PULL,1-PULL 4 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 1-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
MAP-000005,BM60(2)(1.25) T,114-11-2,"2-PULL 1.25 in CONDUIT, ORANGE 8000FT",FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,APPROVED,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 2-pull SKU at 1 FT per production FT."
MAP-000006,BM60(2)(2) T,TBD-CONDUIT-2-2PULL,2-PULL 2 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 2-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
MAP-000007,BM60(2)(4) T,TBD-CONDUIT-4-2PULL,2-PULL 4 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 2-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
MAP-000008,BM60(3)(1.25) T,114-11-3-OGB-T,"3-PULL 1.25 in CONDUIT, ORANGE GREEN BLUE 7500FT",FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,APPROVED,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 3-pull SKU at 1 FT per production FT."
MAP-000009,BM60(3)(2) T,TBD-CONDUIT-2-3PULL,3-PULL 2 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 3-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
MAP-000010,BM60(3)(4) T,TBD-CONDUIT-4-3PULL,3-PULL 4 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 3-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
